2024-06-14 23:55:09,143: Key.ctrl_l
2024-06-14 23:55:09,628: Key.ctrl_l
2024-06-14 23:55:09,676: Key.ctrl_l
2024-06-14 23:55:09,708: Key.ctrl_l
2024-06-14 23:55:09,739: Key.ctrl_l
2024-06-14 23:55:09,771: Key.ctrl_l
2024-06-14 23:55:09,803: Key.ctrl_l
2024-06-14 23:55:09,835: Key.ctrl_l
2024-06-14 23:55:09,866: Key.ctrl_l
2024-06-14 23:55:09,898: Key.ctrl_l
2024-06-14 23:55:09,930: Key.ctrl_l
2024-06-14 23:55:09,962: Key.ctrl_l
2024-06-14 23:55:09,994: Key.ctrl_l
2024-06-14 23:55:10,025: Key.ctrl_l
2024-06-14 23:55:10,057: Key.ctrl_l
2024-06-14 23:55:10,104: Key.ctrl_l
2024-06-14 23:55:10,135: Key.ctrl_l
2024-06-14 23:55:10,167: Key.ctrl_l
2024-06-14 23:55:10,198: Key.ctrl_l
2024-06-14 23:55:10,230: Key.ctrl_l
2024-06-14 23:55:10,262: Key.ctrl_l
2024-06-14 23:55:10,294: Key.ctrl_l
2024-06-14 23:55:10,310: '\x03'
2024-06-14 23:55:12,719: Key.ctrl_l
2024-06-14 23:55:13,154: '\x16'
2024-06-14 23:55:14,196: Key.space
2024-06-14 23:55:14,604: 'i'
2024-06-14 23:55:15,010: 's'
2024-06-14 23:55:15,260: Key.space
2024-06-14 23:55:15,809: 'b'
2024-06-14 23:55:16,452: 'l'
2024-06-14 23:55:16,882: 'a'
2024-06-14 23:55:17,638: 'n'
2024-06-14 23:55:18,390: 'k'
2024-06-14 23:55:19,709: Key.enter
2024-06-14 23:57:05,326: Key.print_screen
2024-06-14 23:57:25,677: Key.ctrl_l
2024-06-14 23:57:25,921: '\x16'
2024-06-14 23:57:40,322: Key.print_screen
2024-06-14 23:58:02,673: Key.backspace
2024-06-14 23:58:05,819: Key.backspace
2024-06-14 23:58:08,544: Key.backspace
2024-06-14 23:58:13,349: Key.enter
2024-06-14 23:58:16,894: Key.enter
2024-06-14 23:58:19,349: Key.enter
2024-06-14 23:58:24,757: Key.print_screen
2024-06-14 23:58:39,909: Key.ctrl_l
2024-06-14 23:58:40,224: '\x16'
2024-06-14 23:58:57,376: Key.up
2024-06-14 23:58:58,467: Key.enter
2024-06-14 23:59:08,562: Key.print_screen
2024-06-14 23:59:17,605: Key.ctrl_l
2024-06-14 23:59:17,844: '\x16'
2024-06-14 23:59:32,310: 'o'
2024-06-14 23:59:32,645: 'u'
2024-06-14 23:59:33,055: 't'
2024-06-14 23:59:33,330: 'p'
2024-06-14 23:59:33,787: 'u'
2024-06-14 23:59:33,967: 't'
2024-06-14 23:59:34,089: Key.space
2024-06-14 23:59:34,445: 'g'
2024-06-14 23:59:34,652: 'e'
2024-06-14 23:59:34,943: 't'
2024-06-14 23:59:41,858: Key.space
2024-06-15 00:00:25,206: Key.enter
2024-06-15 00:00:26,866: Key.backspace
2024-06-15 00:00:48,721: '.'
2024-06-15 00:00:48,911: '.'
